ID_aq,parameter_code,sample_measurement,latitude,longitude,year,month,day,hour
0,88502,12.8,40.739264,-73.817694,2021,3,4,6
1,88502,10.2,40.739264,-73.817694,2021,3,4,7
2,88502,10.0,40.739264,-73.817694,2021,3,4,8
3,88502,7.7,40.739264,-73.817694,2021,3,4,9
4,88502,3.8,40.739264,-73.817694,2021,3,4,10
5,88502,3.0,40.739264,-73.817694,2021,3,4,11
6,88502,4.9,40.739264,-73.817694,2021,3,4,12
7,88502,2.4,40.739264,-73.817694,2021,3,4,13
8,88502,4.2,40.739264,-73.817694,2021,3,4,14
9,88502,5.6,40.739264,-73.817694,2021,3,4,15
10,88502,4.8,40.739264,-73.817694,2021,3,4,16
11,88502,7.4,40.739264,-73.817694,2021,3,4,17
12,88502,6.5,40.739264,-73.817694,2021,3,4,18
13,88502,4.5,40.739264,-73.817694,2021,3,4,19
14,88502,4.2,40.739264,-73.817694,2021,3,4,20
15,88502,4.7,40.739264,-73.817694,2021,3,5,6
16,88502,2.9,40.739264,-73.817694,2021,3,5,7
17,88502,3.0,40.739264,-73.817694,2021,3,5,8
18,88502,4.4,40.739264,-73.817694,2021,3,5,9
19,88502,1.5,40.739264,-73.817694,2021,3,5,12
20,88502,1.9,40.739264,-73.817694,2021,3,5,13
21,88502,8.3,40.739264,-73.817694,2021,3,5,14
22,88502,2.3,40.739264,-73.817694,2021,3,5,15
23,88502,2.5,40.739264,-73.817694,2021,3,5,16
24,88502,7.2,40.739264,-73.817694,2021,3,5,17
25,88502,7.0,40.739264,-73.817694,2021,3,5,18
26,88502,5.2,40.739264,-73.817694,2021,3,5,19
27,88502,5.5,40.739264,-73.817694,2021,3,5,20
28,88502,5.5,40.739264,-73.817694,2021,3,6,6
29,88502,5.8,40.739264,-73.817694,2021,3,6,7
30,88502,4.5,40.739264,-73.817694,2021,3,6,8
31,88502,4.1,40.739264,-73.817694,2021,3,6,9
32,88502,7.3,40.72698,-73.89313,2021,3,4,6
33,88502,7.4,40.72698,-73.89313,2021,3,4,7
34,88502,5.5,40.72698,-73.89313,2021,3,4,8
35,88502,4.2,40.72698,-73.89313,2021,3,4,9
36,88502,-0.6,40.72698,-73.89313,2021,3,4,10
37,88502,2.9,40.72698,-73.89313,2021,3,4,11
38,88502,3.5,40.72698,-73.89313,2021,3,4,12
39,88502,-0.1,40.72698,-73.89313,2021,3,4,13
40,88502,4.3,40.72698,-73.89313,2021,3,4,14
41,88502,4.4,40.72698,-73.89313,2021,3,4,15
42,88502,5.4,40.72698,-73.89313,2021,3,4,16
43,88502,5.7,40.72698,-73.89313,2021,3,4,17
44,88502,4.7,40.72698,-73.89313,2021,3,4,18
45,88502,3.4,40.72698,-73.89313,2021,3,4,19
46,88502,3.3,40.72698,-73.89313,2021,3,4,20
47,88502,2.4,40.72698,-73.89313,2021,3,5,6
48,88502,2.0,40.72698,-73.89313,2021,3,5,7
49,88502,0.8,40.72698,-73.89313,2021,3,5,8
50,88502,0.9,40.72698,-73.89313,2021,3,5,9
51,88502,1.5,40.72698,-73.89313,2021,3,5,10
52,88502,1.8,40.72698,-73.89313,2021,3,5,11
53,88502,0.9,40.72698,-73.89313,2021,3,5,12
54,88502,1.3,40.72698,-73.89313,2021,3,5,13
55,88502,-1.6,40.72698,-73.89313,2021,3,5,14
56,88502,3.0,40.72698,-73.89313,2021,3,5,15
57,88502,5.4,40.72698,-73.89313,2021,3,5,16
58,88502,5.0,40.72698,-73.89313,2021,3,5,17
59,88502,5.7,40.72698,-73.89313,2021,3,5,18
60,88502,4.7,40.72698,-73.89313,2021,3,5,19
61,88502,6.2,40.72698,-73.89313,2021,3,5,20
62,88502,4.0,40.739264,-73.817694,2021,3,6,10
63,88502,3.2,40.739264,-73.817694,2021,3,6,11
64,88502,3.6,40.739264,-73.817694,2021,3,6,12
65,88502,3.4,40.739264,-73.817694,2021,3,6,13
66,88502,4.9,40.739264,-73.817694,2021,3,6,14
67,88502,5.2,40.739264,-73.817694,2021,3,6,15
68,88502,5.3,40.739264,-73.817694,2021,3,6,16
69,88502,5.9,40.739264,-73.817694,2021,3,6,17
70,88502,6.3,40.739264,-73.817694,2021,3,6,18
71,88502,6.7,40.739264,-73.817694,2021,3,6,19
72,88502,6.7,40.739264,-73.817694,2021,3,6,20
73,88502,5.0,40.739264,-73.817694,2021,3,7,6
74,88502,4.6,40.739264,-73.817694,2021,3,7,7
75,88502,3.1,40.739264,-73.817694,2021,3,7,8
76,88502,4.7,40.739264,-73.817694,2021,3,7,9
77,88502,3.0,40.739264,-73.817694,2021,3,7,10
78,88502,2.8,40.739264,-73.817694,2021,3,7,11
79,88502,2.0,40.739264,-73.817694,2021,3,7,12
80,88502,1.9,40.739264,-73.817694,2021,3,7,13
81,88502,3.6,40.739264,-73.817694,2021,3,7,14
82,88502,4.9,40.739264,-73.817694,2021,3,7,15
83,88502,3.8,40.739264,-73.817694,2021,3,7,16
