ID_taxis,yellow,payment_type,total_amount,PU_ID_borough,DO_ID_borough,pickup_year,pickup_month,pickup_day,pickup_hour
0,0,1.0,9.3,5,5,2019,3,4,15
1,0,2.0,33.8,1,1,2019,3,4,15
2,0,1.0,57.3,5,5,2019,3,4,16
3,0,1.0,38.65,5,1,2019,3,4,16
4,0,2.0,16.8,1,1,2019,3,4,17
5,0,2.0,11.8,2,2,2019,3,4,18
6,0,2.0,13.3,1,1,2019,3,4,18
7,0,2.0,10.3,1,1,2019,3,4,19
8,0,2.0,9.8,1,1,2019,3,4,20
9,0,1.0,11.3,3,2,2019,3,4,20
10,0,1.0,8.8,3,3,2019,3,5,7
11,0,1.0,16.26,3,3,2019,3,5,8
12,0,1.0,52.85,3,3,2019,3,5,8
13,0,1.0,13.8,3,3,2019,3,5,8
14,0,1.0,11.11,3,3,2019,3,5,10
15,0,1.0,5.8,5,5,2019,3,5,10
16,0,1.0,58.3,1,5,2019,3,5,10
17,0,1.0,13.8,5,5,2019,3,5,17
18,0,1.0,3.96,1,1,2019,3,6,9
19,0,1.0,15.06,5,3,2019,3,6,11
20,0,1.0,11.76,3,3,2019,3,6,10
21,0,1.0,11.76,5,5,2019,3,6,10
22,0,2.0,14.3,1,1,2019,3,6,15
23,0,1.0,36.8,3,2,2019,3,6,15
24,0,1.0,14.8,1,1,2019,3,6,15
25,0,2.0,12.8,5,5,2019,3,6,16
26,0,1.0,22.8,1,1,2019,3,6,17
27,0,1.0,17.8,3,3,2019,3,6,17
28,0,2.0,16.8,1,1,2019,3,6,18
29,0,2.0,9.8,5,5,2019,3,6,18
30,0,1.0,14.3,1,1,2019,3,6,19
31,0,2.0,11.8,3,2,2019,3,6,19
32,0,2.0,6.3,1,1,2019,3,6,20
33,0,1.0,14.3,1,1,2019,3,6,20
34,0,1.0,11.76,5,5,2019,3,6,20
35,0,1.0,15.74,5,5,2019,3,7,7
36,0,2.0,6.8,3,3,2019,3,7,7
37,0,1.0,14.16,1,1,2019,3,7,8
38,0,1.0,60.8,5,3,2019,3,7,8
39,0,1.0,16.0,5,5,2019,3,7,8
40,0,1.0,19.09,1,1,2019,3,7,9
41,0,1.0,17.3,1,1,2019,3,7,9
42,0,1.0,8.3,3,3,2019,3,7,11
43,0,1.0,8.3,1,1,2019,3,7,11
44,0,2.0,8.3,1,1,2019,3,7,12
45,0,1.0,18.26,5,5,2019,3,7,12
46,0,1.0,15.06,3,3,2019,3,7,15
47,0,1.0,13.3,1,1,2019,3,7,15
48,0,1.0,9.8,5,5,2019,3,7,15
49,0,2.0,14.3,3,3,2019,3,7,16
50,0,1.0,14.8,5,5,2019,3,7,17
51,0,1.0,15.56,3,3,2019,3,7,19
52,0,2.0,11.3,3,3,2019,3,7,19
53,0,2.0,9.55,3,3,2019,3,7,19
54,0,2.0,3.3,5,5,2019,3,8,7
55,0,1.0,6.36,3,3,2019,3,8,8
56,0,1.0,21.3,5,3,2019,3,8,9
57,0,2.0,10.3,1,1,2019,3,8,10
58,0,1.0,17.31,5,3,2019,3,8,10
59,0,1.0,13.3,5,5,2019,3,8,9
60,0,1.0,18.81,5,3,2019,3,8,10
61,0,2.0,6.3,3,3,2019,3,8,10
62,0,1.0,36.3,3,3,2019,3,8,10
63,0,1.0,10.8,5,5,2019,3,8,12
64,0,2.0,7.3,3,3,2019,3,8,13
65,0,1.0,11.8,1,1,2019,3,8,16
66,0,2.0,14.8,1,1,2019,3,8,19
67,0,1.0,42.78,5,1,2019,3,9,7
68,0,2.0,12.55,3,3,2019,3,9,11
69,0,2.0,6.8,3,3,2019,3,9,12
70,0,1.0,20.8,5,5,2019,3,9,12
71,0,2.0,8.8,1,1,2019,3,9,13
72,0,1.0,12.3,5,5,2019,3,9,15
73,0,1.0,3.96,1,1,2019,3,9,15
74,0,1.0,53.06,5,3,2019,3,9,19
75,0,1.0,18.81,3,3,2019,3,9,18
76,0,2.0,6.8,3,3,2019,3,9,20
77,0,2.0,9.3,1,1,2019,3,10,7
78,0,1.0,10.38,3,3,2019,3,10,12
79,0,2.0,5.8,1,1,2019,3,10,15
80,0,1.0,8.76,5,5,2019,3,10,18
81,0,1.0,55.06,3,5,2019,3,10,17
82,0,1.0,12.36,1,1,2019,3,10,17
83,0,5.0,18.38,5,5,2019,3,4,13
84,0,5.0,56.19,1,3,2019,3,4,16
85,0,5.0,15.5,2,2,2019,3,5,9
86,0,5.0,74.85,5,2,2019,3,5,15
87,0,5.0,19.27,1,3,2019,3,5,16
88,0,5.0,24.09,5,5,2019,3,8,10
89,0,5.0,17.84,5,5,2019,3,8,15
90,0,5.0,15.88,5,5,2019,3,9,7
91,0,5.0,56.75,1,3,2019,3,9,7
92,0,5.0,73.15,1,2,2019,3,9,10
93,0,2.0,7.8,2,2,2019,8,4,19
94,0,1.0,13.39,5,5,2019,8,4,19
95,0,1.0,33.19,5,3,2019,8,4,19
96,0,2.0,16.3,1,1,2019,8,4,20
97,0,1.0,56.46,3,5,2019,8,5,7
98,0,2.0,10.8,3,3,2019,8,5,8
99,0,2.0,11.8,1,1,2019,8,5,9
100,0,2.0,5.8,3,3,2019,8,5,11
101,0,1.0,23.3,1,1,2019,8,5,10
102,0,2.0,9.8,2,3,2019,8,5,11
103,0,1.0,6.6,3,3,2019,8,5,13
104,0,1.0,22.26,3,3,2019,8,5,14
105,0,2.0,12.3,5,5,2019,8,5,15
106,0,2.0,8.3,3,3,2019,8,5,16
107,0,2.0,5.8,3,3,2019,8,5,16
108,0,2.0,10.8,1,1,2019,8,5,16
109,0,2.0,11.8,5,5,2019,8,5,17
110,0,1.0,13.86,3,3,2019,8,5,19
111,0,1.0,11.16,1,1,2019,8,5,19
112,0,2.0,16.3,3,3,2019,8,5,18
113,0,1.0,17.46,3,3,2019,8,5,20
114,0,1.0,20.46,5,3,2019,8,6,7
115,0,2.0,7.3,1,1,2019,8,6,8
116,0,2.0,5.8,3,3,2019,8,6,8
117,0,1.0,30.0,5,3,2019,8,6,9
118,0,1.0,27.3,2,2,2019,8,6,16
119,0,1.0,37.8,5,5,2019,8,6,17
120,0,1.0,44.98,3,2,2019,8,6,17
121,0,1.0,7.3,5,5,2019,8,6,20
122,0,1.0,8.16,3,3,2019,8,7,12
123,0,2.0,7.3,2,3,2019,8,7,13
124,0,2.0,9.3,2,2,2019,8,7,13
125,0,2.0,6.3,3,3,2019,8,7,14
126,0,2.0,11.3,5,5,2019,8,7,14
127,0,2.0,16.3,3,3,2019,8,7,14
128,0,1.0,32.46,3,1,2019,8,7,14
129,0,1.0,9.3,5,5,2019,8,7,15
130,0,2.0,9.8,1,1,2019,8,7,18
131,0,2.0,11.8,1,1,2019,8,7,20
132,0,1.0,10.1,5,5,2019,8,7,20
133,0,2.0,23.8,3,2,2019,8,8,7
134,0,1.0,8.3,3,3,2019,8,8,9
135,0,1.0,11.0,1,6,2019,8,8,10
136,0,2.0,19.55,3,3,2019,8,8,11
137,0,2.0,12.3,3,3,2019,8,8,12
138,0,2.0,12.05,3,3,2019,8,8,12
139,0,2.0,4.3,3,3,2019,8,8,13
140,0,1.0,17.8,5,5,2019,8,8,14
141,0,1.0,23.8,5,5,2019,8,8,15
142,0,2.0,12.3,1,1,2019,8,8,16
143,0,1.0,10.8,3,2,2019,8,8,16
144,0,2.0,10.3,3,3,2019,8,8,18
145,0,1.0,14.16,1,1,2019,8,8,17
146,0,2.0,10.3,5,5,2019,8,8,17
147,0,1.0,8.16,2,2,2019,8,8,18
148,0,1.0,44.8,5,5,2019,8,8,18
149,0,2.0,8.8,3,3,2019,8,8,19
150,0,2.0,6.8,5,5,2019,8,8,19
151,0,2.0,12.3,3,3,2019,8,8,20
152,0,1.0,13.0,5,5,2019,8,8,20
153,0,2.0,6.3,1,1,2019,8,9,9
154,0,2.0,35.42,3,1,2019,8,9,10
155,0,1.0,6.3,1,1,2019,8,9,10
156,0,2.0,6.8,3,3,2019,8,9,11
157,0,2.0,11.8,1,1,2019,8,9,11
158,0,2.0,8.8,1,1,2019,8,9,11
159,0,2.0,8.3,1,1,2019,8,9,15
160,0,1.0,98.92,1,2,2019,8,9,15
161,0,1.0,14.4,3,2,2019,8,9,16
162,0,1.0,12.51,5,5,2019,8,9,16
163,0,2.0,9.3,1,1,2019,8,9,16
164,0,2.0,16.55,3,3,2019,8,9,16
165,0,2.0,15.8,5,5,2019,8,9,16
166,0,1.0,42.36,5,3,2019,8,9,17
167,0,1.0,13.56,1,1,2019,8,9,19
