ID_taxis,Taxis,payment_type,total_amount,PU_ID_borough,DO_ID_borough,pickup_hour,date
0,Green,1.0,9.3,5,5,15,4/3/2019
1,Green,2.0,33.8,1,1,15,4/3/2019
2,Green,1.0,57.3,5,5,16,4/3/2019
3,Green,1.0,38.65,5,1,16,4/3/2019
4,Green,2.0,16.8,1,1,17,4/3/2019
5,Green,2.0,11.8,2,2,18,4/3/2019
6,Green,2.0,13.3,1,1,18,4/3/2019
7,Green,2.0,10.3,1,1,19,4/3/2019
8,Green,2.0,9.8,1,1,20,4/3/2019
9,Green,1.0,11.3,3,2,20,4/3/2019
10,Green,1.0,8.8,3,3,7,5/3/2019
11,Green,1.0,16.26,3,3,8,5/3/2019
12,Green,1.0,52.85,3,3,8,5/3/2019
13,Green,1.0,13.8,3,3,8,5/3/2019
14,Green,1.0,11.11,3,3,10,5/3/2019
15,Green,1.0,5.8,5,5,10,5/3/2019
16,Green,1.0,58.3,1,5,10,5/3/2019
17,Green,1.0,13.8,5,5,17,5/3/2019
18,Green,1.0,3.96,1,1,9,6/3/2019
19,Green,1.0,15.06,5,3,11,6/3/2019
20,Green,1.0,11.76,3,3,10,6/3/2019
21,Green,1.0,11.76,5,5,10,6/3/2019
22,Green,2.0,14.3,1,1,15,6/3/2019
23,Green,1.0,36.8,3,2,15,6/3/2019
24,Green,1.0,14.8,1,1,15,6/3/2019
25,Green,2.0,12.8,5,5,16,6/3/2019
26,Green,1.0,22.8,1,1,17,6/3/2019
27,Green,1.0,17.8,3,3,17,6/3/2019
28,Green,2.0,16.8,1,1,18,6/3/2019
29,Green,2.0,9.8,5,5,18,6/3/2019
30,Green,1.0,14.3,1,1,19,6/3/2019
31,Green,2.0,11.8,3,2,19,6/3/2019
32,Green,2.0,6.3,1,1,20,6/3/2019
33,Green,1.0,14.3,1,1,20,6/3/2019
34,Green,1.0,11.76,5,5,20,6/3/2019
35,Green,1.0,15.74,5,5,7,7/3/2019
36,Green,2.0,6.8,3,3,7,7/3/2019
37,Green,1.0,14.16,1,1,8,7/3/2019
38,Green,1.0,60.8,5,3,8,7/3/2019
39,Green,1.0,16.0,5,5,8,7/3/2019
40,Green,1.0,19.09,1,1,9,7/3/2019
41,Green,1.0,17.3,1,1,9,7/3/2019
42,Green,1.0,8.3,3,3,11,7/3/2019
43,Green,1.0,8.3,1,1,11,7/3/2019
44,Green,2.0,8.3,1,1,12,7/3/2019
45,Green,1.0,18.26,5,5,12,7/3/2019
46,Green,1.0,15.06,3,3,15,7/3/2019
47,Green,1.0,13.3,1,1,15,7/3/2019
48,Green,1.0,9.8,5,5,15,7/3/2019
49,Green,2.0,14.3,3,3,16,7/3/2019
50,Green,1.0,14.8,5,5,17,7/3/2019
51,Green,1.0,15.56,3,3,19,7/3/2019
52,Green,2.0,11.3,3,3,19,7/3/2019
53,Green,2.0,9.55,3,3,19,7/3/2019
54,Green,2.0,3.3,5,5,7,8/3/2019
55,Green,1.0,6.36,3,3,8,8/3/2019
56,Green,1.0,21.3,5,3,9,8/3/2019
57,Green,2.0,10.3,1,1,10,8/3/2019
58,Green,1.0,17.31,5,3,10,8/3/2019
59,Green,1.0,13.3,5,5,9,8/3/2019
60,Green,1.0,18.81,5,3,10,8/3/2019
61,Green,2.0,6.3,3,3,10,8/3/2019
62,Green,1.0,36.3,3,3,10,8/3/2019
63,Green,1.0,10.8,5,5,12,8/3/2019
64,Green,2.0,7.3,3,3,13,8/3/2019
65,Green,1.0,11.8,1,1,16,8/3/2019
66,Green,2.0,14.8,1,1,19,8/3/2019
67,Green,1.0,42.78,5,1,7,9/3/2019
68,Green,2.0,12.55,3,3,11,9/3/2019
69,Green,2.0,6.8,3,3,12,9/3/2019
70,Green,1.0,20.8,5,5,12,9/3/2019
71,Green,2.0,8.8,1,1,13,9/3/2019
72,Green,1.0,12.3,5,5,15,9/3/2019
73,Green,1.0,3.96,1,1,15,9/3/2019
74,Green,1.0,53.06,5,3,19,9/3/2019
75,Green,1.0,18.81,3,3,18,9/3/2019
76,Green,2.0,6.8,3,3,20,9/3/2019
77,Green,2.0,9.3,1,1,7,10/3/2019
78,Green,1.0,10.38,3,3,12,10/3/2019
79,Green,2.0,5.8,1,1,15,10/3/2019
80,Green,1.0,8.76,5,5,18,10/3/2019
81,Green,1.0,55.06,3,5,17,10/3/2019
82,Green,1.0,12.36,1,1,17,10/3/2019
83,Green,5.0,18.38,5,5,13,4/3/2019
84,Green,5.0,56.19,1,3,16,4/3/2019
85,Green,5.0,15.5,2,2,9,5/3/2019
86,Green,5.0,74.85,5,2,15,5/3/2019
87,Green,5.0,19.27,1,3,16,5/3/2019
88,Green,5.0,24.09,5,5,10,8/3/2019
89,Green,5.0,17.84,5,5,15,8/3/2019
90,Green,5.0,15.88,5,5,7,9/3/2019
91,Green,5.0,56.75,1,3,7,9/3/2019
92,Green,5.0,73.15,1,2,10,9/3/2019
93,Green,2.0,7.8,2,2,19,4/8/2019
94,Green,1.0,13.39,5,5,19,4/8/2019
95,Green,1.0,33.19,5,3,19,4/8/2019
96,Green,2.0,16.3,1,1,20,4/8/2019
97,Green,1.0,56.46,3,5,7,5/8/2019
98,Green,2.0,10.8,3,3,8,5/8/2019
99,Green,2.0,11.8,1,1,9,5/8/2019
100,Green,2.0,5.8,3,3,11,5/8/2019
101,Green,1.0,23.3,1,1,10,5/8/2019
102,Green,2.0,9.8,2,3,11,5/8/2019
103,Green,1.0,6.6,3,3,13,5/8/2019
104,Green,1.0,22.26,3,3,14,5/8/2019
105,Green,2.0,12.3,5,5,15,5/8/2019
106,Green,2.0,8.3,3,3,16,5/8/2019
107,Green,2.0,5.8,3,3,16,5/8/2019
108,Green,2.0,10.8,1,1,16,5/8/2019
109,Green,2.0,11.8,5,5,17,5/8/2019
110,Green,1.0,13.86,3,3,19,5/8/2019
111,Green,1.0,11.16,1,1,19,5/8/2019
112,Green,2.0,16.3,3,3,18,5/8/2019
113,Green,1.0,17.46,3,3,20,5/8/2019
114,Green,1.0,20.46,5,3,7,6/8/2019
115,Green,2.0,7.3,1,1,8,6/8/2019
116,Green,2.0,5.8,3,3,8,6/8/2019
117,Green,1.0,30.0,5,3,9,6/8/2019
118,Green,1.0,27.3,2,2,16,6/8/2019
119,Green,1.0,37.8,5,5,17,6/8/2019
120,Green,1.0,44.98,3,2,17,6/8/2019
121,Green,1.0,7.3,5,5,20,6/8/2019
122,Green,1.0,8.16,3,3,12,7/8/2019
123,Green,2.0,7.3,2,3,13,7/8/2019
124,Green,2.0,9.3,2,2,13,7/8/2019
125,Green,2.0,6.3,3,3,14,7/8/2019
126,Green,2.0,11.3,5,5,14,7/8/2019
127,Green,2.0,16.3,3,3,14,7/8/2019
128,Green,1.0,32.46,3,1,14,7/8/2019
129,Green,1.0,9.3,5,5,15,7/8/2019
130,Green,2.0,9.8,1,1,18,7/8/2019
131,Green,2.0,11.8,1,1,20,7/8/2019
132,Green,1.0,10.1,5,5,20,7/8/2019
133,Green,2.0,23.8,3,2,7,8/8/2019
134,Green,1.0,8.3,3,3,9,8/8/2019
135,Green,1.0,11.0,1,6,10,8/8/2019
136,Green,2.0,19.55,3,3,11,8/8/2019
137,Green,2.0,12.3,3,3,12,8/8/2019
138,Green,2.0,12.05,3,3,12,8/8/2019
139,Green,2.0,4.3,3,3,13,8/8/2019
140,Green,1.0,17.8,5,5,14,8/8/2019
141,Green,1.0,23.8,5,5,15,8/8/2019
142,Green,2.0,12.3,1,1,16,8/8/2019
