ID_aq,parameter_Carbon Monoxide,sample_measurement,date
0,Acceptable PM2.5 AQI & Speciation Mass,12.8,4/03/2021
1,Acceptable PM2.5 AQI & Speciation Mass,10.2,4/03/2021
2,Acceptable PM2.5 AQI & Speciation Mass,10.0,4/03/2021
3,Acceptable PM2.5 AQI & Speciation Mass,7.7,4/03/2021
4,Acceptable PM2.5 AQI & Speciation Mass,3.8,4/03/2021
5,Acceptable PM2.5 AQI & Speciation Mass,3.0,4/03/2021
6,Acceptable PM2.5 AQI & Speciation Mass,4.9,4/03/2021
7,Acceptable PM2.5 AQI & Speciation Mass,2.4,4/03/2021
8,Acceptable PM2.5 AQI & Speciation Mass,4.2,4/03/2021
9,Acceptable PM2.5 AQI & Speciation Mass,5.6,4/03/2021
10,Acceptable PM2.5 AQI & Speciation Mass,4.8,4/03/2021
11,Acceptable PM2.5 AQI & Speciation Mass,7.4,4/03/2021
12,Acceptable PM2.5 AQI & Speciation Mass,6.5,4/03/2021
13,Acceptable PM2.5 AQI & Speciation Mass,4.5,4/03/2021
14,Acceptable PM2.5 AQI & Speciation Mass,4.2,4/03/2021
15,Acceptable PM2.5 AQI & Speciation Mass,4.7,5/03/2021
16,Acceptable PM2.5 AQI & Speciation Mass,2.9,5/03/2021
17,Acceptable PM2.5 AQI & Speciation Mass,3.0,5/03/2021
18,Acceptable PM2.5 AQI & Speciation Mass,4.4,5/03/2021
19,Acceptable PM2.5 AQI & Speciation Mass,1.5,5/03/2021
20,Acceptable PM2.5 AQI & Speciation Mass,1.9,5/03/2021
21,Acceptable PM2.5 AQI & Speciation Mass,8.3,5/03/2021
22,Acceptable PM2.5 AQI & Speciation Mass,2.3,5/03/2021
23,Acceptable PM2.5 AQI & Speciation Mass,2.5,5/03/2021
24,Acceptable PM2.5 AQI & Speciation Mass,7.2,5/03/2021
25,Acceptable PM2.5 AQI & Speciation Mass,7.0,5/03/2021
26,Acceptable PM2.5 AQI & Speciation Mass,5.2,5/03/2021
27,Acceptable PM2.5 AQI & Speciation Mass,5.5,5/03/2021
28,Acceptable PM2.5 AQI & Speciation Mass,5.5,6/03/2021
29,Acceptable PM2.5 AQI & Speciation Mass,5.8,6/03/2021
30,Acceptable PM2.5 AQI & Speciation Mass,4.5,6/03/2021
31,Acceptable PM2.5 AQI & Speciation Mass,4.1,6/03/2021
32,Acceptable PM2.5 AQI & Speciation Mass,7.3,4/03/2021
33,Acceptable PM2.5 AQI & Speciation Mass,7.4,4/03/2021
34,Acceptable PM2.5 AQI & Speciation Mass,5.5,4/03/2021
35,Acceptable PM2.5 AQI & Speciation Mass,4.2,4/03/2021
36,Acceptable PM2.5 AQI & Speciation Mass,-0.6,4/03/2021
37,Acceptable PM2.5 AQI & Speciation Mass,2.9,4/03/2021
38,Acceptable PM2.5 AQI & Speciation Mass,3.5,4/03/2021
39,Acceptable PM2.5 AQI & Speciation Mass,-0.1,4/03/2021
40,Acceptable PM2.5 AQI & Speciation Mass,4.3,4/03/2021
41,Acceptable PM2.5 AQI & Speciation Mass,4.4,4/03/2021
42,Acceptable PM2.5 AQI & Speciation Mass,5.4,4/03/2021
43,Acceptable PM2.5 AQI & Speciation Mass,5.7,4/03/2021
44,Acceptable PM2.5 AQI & Speciation Mass,4.7,4/03/2021
45,Acceptable PM2.5 AQI & Speciation Mass,3.4,4/03/2021
46,Acceptable PM2.5 AQI & Speciation Mass,3.3,4/03/2021
47,Acceptable PM2.5 AQI & Speciation Mass,2.4,5/03/2021
48,Acceptable PM2.5 AQI & Speciation Mass,2.0,5/03/2021
49,Acceptable PM2.5 AQI & Speciation Mass,0.8,5/03/2021
50,Acceptable PM2.5 AQI & Speciation Mass,0.9,5/03/2021
51,Acceptable PM2.5 AQI & Speciation Mass,1.5,5/03/2021
52,Acceptable PM2.5 AQI & Speciation Mass,1.8,5/03/2021
53,Acceptable PM2.5 AQI & Speciation Mass,0.9,5/03/2021
54,Acceptable PM2.5 AQI & Speciation Mass,1.3,5/03/2021
55,Acceptable PM2.5 AQI & Speciation Mass,-1.6,5/03/2021
56,Acceptable PM2.5 AQI & Speciation Mass,3.0,5/03/2021
57,Acceptable PM2.5 AQI & Speciation Mass,5.4,5/03/2021
58,Acceptable PM2.5 AQI & Speciation Mass,5.0,5/03/2021
59,Acceptable PM2.5 AQI & Speciation Mass,5.7,5/03/2021
60,Acceptable PM2.5 AQI & Speciation Mass,4.7,5/03/2021
61,Acceptable PM2.5 AQI & Speciation Mass,6.2,5/03/2021
62,Acceptable PM2.5 AQI & Speciation Mass,4.0,6/03/2021
63,Acceptable PM2.5 AQI & Speciation Mass,3.2,6/03/2021
64,Acceptable PM2.5 AQI & Speciation Mass,3.6,6/03/2021
65,Acceptable PM2.5 AQI & Speciation Mass,3.4,6/03/2021
66,Acceptable PM2.5 AQI & Speciation Mass,4.9,6/03/2021
67,Acceptable PM2.5 AQI & Speciation Mass,5.2,6/03/2021
68,Acceptable PM2.5 AQI & Speciation Mass,5.3,6/03/2021
69,Acceptable PM2.5 AQI & Speciation Mass,5.9,6/03/2021
70,Acceptable PM2.5 AQI & Speciation Mass,6.3,6/03/2021
71,Acceptable PM2.5 AQI & Speciation Mass,6.7,6/03/2021
72,Acceptable PM2.5 AQI & Speciation Mass,6.7,6/03/2021
73,Acceptable PM2.5 AQI & Speciation Mass,5.0,7/03/2021
74,Acceptable PM2.5 AQI & Speciation Mass,4.6,7/03/2021
75,Acceptable PM2.5 AQI & Speciation Mass,3.1,7/03/2021
76,Acceptable PM2.5 AQI & Speciation Mass,4.7,7/03/2021
77,Acceptable PM2.5 AQI & Speciation Mass,3.0,7/03/2021
78,Acceptable PM2.5 AQI & Speciation Mass,2.8,7/03/2021
79,Acceptable PM2.5 AQI & Speciation Mass,2.0,7/03/2021
80,Acceptable PM2.5 AQI & Speciation Mass,1.9,7/03/2021
81,Acceptable PM2.5 AQI & Speciation Mass,3.6,7/03/2021
82,Acceptable PM2.5 AQI & Speciation Mass,4.9,7/03/2021
83,Acceptable PM2.5 AQI & Speciation Mass,3.8,7/03/2021
84,Acceptable PM2.5 AQI & Speciation Mass,7.8,7/03/2021
